Study	Species	Trait	fit.trait	Heritability	Evolvability	Mean	Ie	Type	Scale	Organism	Measure
Agrawal.et.al..(2002)	Raphanus.raphanistrum	trichome.density	no	0.18	8.398	NA	38.259	Shape	Ratio	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	trichome.density	no	0	0	NA	0	Shape	Ratio	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	leaf.area.	no	0.11	0.681	NA	5.507	Size	Area	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	leaf.area.	no	0.38	2.396	NA	3.91	Size 	Area	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	total.trichomes	no	0.41	17.766	NA	25.566	Size	Count	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	total.trichomes	no	0	0	NA	0	Size 	Count	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	caterpillar.mass	no	0.13	3.434	NA	22.979	Physiological	Weight	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	caterpillar.mass	no	0	0	NA	0	Physiological	Weight	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	leaf.toughness	no	0.17	1.3	NA	6.345	Physiological	Weight	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	early.leaf.number	no	1.03	117.571	NA	-3.424	Size	Count	Plant	Fullsib
Agrawal.et.al..(2002)	Raphanus.raphanistrum	lifetime.fruit.mass	yes	0.58	6.26	NA	4.533	Size	Weight	Plant	Fullsib
Arnold.&.Phillips.(1999)	Thamnophis.elegans	vent	no	0.452	0.021	156.277	0.025	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	sub	no	0.661	0.14	80.982	0.072	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	mid	no	0.115	0.012	18.772	0.096	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	ilab	no	0.179	0.077	18.573	0.35	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	slab	no	0.45	0.199	14.665	0.242	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	post	no	0	0	5.722	0	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	vent	no	0.438	0.03	151.728	0.038	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	sub	no	0.588	0.154	71.247	0.108	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	mid	no	0.032	0.002	18.92	0.059	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	ilab	no	0.303	0.102	18.745	0.235	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	slab	no	0.401	0.161	15.08	0.241	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	post	no	0.22	0.3	5.715	1.062	Size	Count	Herp	Narrowsense
Arnold.&.Phillips.(1999)	Thamnophis.elegans	vent	no	0.394	0.03	172.422	0.047	Size	Count	Herp	Narrowsense
